seller_id,seller_registration_dt,seller_first_sale_dt,seller_main_category,seller_region_cluster,seller_size_bucket,fulfillment_model,seller_manager_region,seller_onboarding_channel,seller_has_logo_flag
100115,2025-12-03,2026-03-17,Одежда,Санкт-Петербург,small,FBS,east,organic,1
100116,2024-11-15,2024-12-31,Детские товары,Юг,medium,FBS,center,organic,0
100117,2024-02-27,2024-03-20,Электроника,Юг,medium,FBO,north,ads,1
100118,2025-01-01,2025-02-04,Одежда,Урал,large,FBO,east,partner,0
100119,2023-12-23,2023-12-31,Электроника,Юг,medium,FBO,center,referral,1
100120,2023-09-02,2023-10-11,Товары для животных,Москва и МО,micro,mixed,south,referral,1
100121,2025-01-21,2025-03-07,Одежда,Сибирь,micro,mixed,south,ads,1
100122,2024-08-06,2024-08-24,Спорт,Москва и МО,micro,FBO,south,ads,0
100123,2025-12-28,2026-02-12,Аксессуары,Сибирь,large,FBS,center,referral,1
100124,2023-08-11,2023-11-19,Одежда,Поволжье,small,FBO,north,organic,0
100125,2023-08-15,2023-08-30,Электроника,Поволжье,micro,FBO,south,organic,0
100126,2024-04-18,2024-05-10,Одежда,Юг,small,mixed,center,organic,1
100127,2024-05-08,2024-05-24,Одежда,Поволжье,micro,FBS,center,organic,0
100128,2025-06-06,2025-07-09,Одежда,Урал,micro,FBO,west,ads,1
100129,2026-03-06,2026-03-21,Электроника,Юг,small,FBS,east,organic,0
100130,2024-06-05,2024-07-03,Аксессуары,Центр,small,FBS,center,offline_event,0
100131,2023-09-23,2023-11-08,Электроника,Москва и МО,medium,mixed,east,ads,0
100132,2026-02-21,2026-03-09,Детские товары,Юг,small,FBO,west,organic,1
100133,2025-12-24,2026-01-13,Канцелярия,Юг,micro,FBS,west,partner,1
100134,2025-11-26,2025-12-07,Красота,Юг,micro,FBS,east,referral,0
100135,2024-01-17,2024-03-01,Красота,Центр,small,FBO,south,organic,0
100136,2025-12-18,2026-01-02,Канцелярия,Центр,micro,FBO,north,offline_event,1
100137,2025-02-23,2025-03-17,Одежда,Поволжье,micro,mixed,north,partner,1
100138,2025-04-11,2025-04-19,Дом,Поволжье,medium,FBO,center,organic,0
100139,2023-10-14,2023-11-27,Одежда,Москва и МО,small,FBS,center,ads,0
100140,2025-03-05,2025-03-09,Товары для животных,Санкт-Петербург,small,mixed,south,partner,0
100141,2026-03-05,2026-04-27,Одежда,Москва и МО,small,FBO,west,partner,1
100142,2024-02-29,2024-03-15,Дом,Центр,small,mixed,west,organic,1
100143,2023-12-16,2024-01-01,Обувь,Поволжье,large,FBS,south,organic,1
100144,2023-07-26,2023-09-22,Красота,Урал,small,FBS,center,organic,1
100145,2024-06-16,2024-09-02,Аксессуары,Центр,small,FBO,east,partner,1
100146,2023-11-19,2023-12-01,Товары для животных,Санкт-Петербург,small,FBO,south,referral,0
100147,2024-08-12,2024-09-23,Красота,Санкт-Петербург,micro,FBS,south,organic,0
100148,2024-09-09,2024-09-21,Электроника,Москва и МО,small,FBS,center,referral,0
100149,2025-07-08,2025-07-22,Канцелярия,Центр,large,mixed,west,partner,1
100150,2023-07-24,2023-09-09,Электроника,Урал,small,FBS,south,organic,1
100151,2024-10-14,2024-11-03,Одежда,Центр,micro,FBO,center,organic,1
100152,2024-05-05,2024-05-29,Дом,Санкт-Петербург,micro,FBO,center,offline_event,0
100153,2023-09-02,2023-09-09,Обувь,Москва и МО,small,FBO,south,organic,0
100154,2026-03-11,,Одежда,Москва и МО,micro,FBS,north,ads,1
100155,2025-07-28,2025-08-12,Электроника,Сибирь,large,FBO,south,organic,1
100156,2023-09-14,2023-10-28,Товары для животных,Поволжье,small,FBS,south,referral,0
100157,2024-11-10,2024-12-07,Товары для животных,Центр,micro,FBO,center,organic,1
100158,2024-11-19,2024-12-05,Товары для животных,Центр,micro,FBO,north,partner,1
100159,2025-02-26,2025-03-17,Красота,Поволжье,micro,FBS,west,partner,1
100160,2024-06-30,2024-07-27,Товары для животных,Москва и МО,micro,FBO,north,offline_event,1
100161,2025-07-01,2025-08-13,Товары для животных,Санкт-Петербург,small,FBS,south,partner,1
100162,2024-12-05,2025-01-14,Красота,Центр,micro,FBO,east,partner,0
100163,2024-09-19,2024-10-10,Красота,Дальний Восток,micro,FBS,north,referral,1
100164,2025-07-21,2025-08-06,Электроника,Центр,micro,FBO,west,organic,0
100165,2024-03-31,2024-04-30,Красота,Центр,medium,FBO,center,organic,1
100166,2026-01-20,2026-02-12,Одежда,Центр,small,FBS,north,organic,1
100167,2025-09-17,2025-11-01,Дом,Санкт-Петербург,micro,FBS,center,organic,1
100168,2025-04-29,2025-05-31,Электроника,Поволжье,micro,FBS,center,organic,1
100169,2023-12-16,2023-12-23,Обувь,Урал,small,mixed,south,organic,1
100170,2025-07-01,2025-08-01,Одежда,Урал,micro,FBO,south,organic,1
100171,2025-06-25,2025-07-03,Товары для животных,Санкт-Петербург,small,FBS,south,organic,1
100172,2025-09-22,2025-11-05,Одежда,Центр,micro,FBO,center,offline_event,1
100173,2024-01-24,2024-03-14,Спорт,Поволжье,small,FBS,south,ads,0
100174,2023-07-23,2023-07-30,Дом,Санкт-Петербург,micro,FBS,south,partner,1
100175,2025-12-16,2026-01-26,Одежда,Москва и МО,micro,FBS,north,ads,1
100176,2024-02-19,2024-03-07,Красота,Центр,micro,FBS,east,offline_event,1
100177,2024-03-08,2024-03-22,Спорт,Санкт-Петербург,micro,FBO,center,organic,1
100178,2023-10-15,2023-11-01,Электроника,Центр,micro,FBO,center,ads,1
100179,2023-08-12,2023-09-09,Одежда,Центр,small,FBO,west,partner,1
100180,2024-08-19,2024-09-05,Канцелярия,Поволжье,micro,FBS,east,offline_event,0
100181,2023-08-05,2023-09-14,Аксессуары,Центр,small,FBO,east,organic,1
100182,2023-10-20,2023-12-26,Одежда,Центр,medium,FBO,north,ads,1
100183,2025-05-13,2025-05-17,Красота,Москва и МО,micro,FBS,south,offline_event,1
100184,2023-10-28,2023-11-06,Детские товары,Юг,large,mixed,east,organic,1
100185,2025-04-12,2025-04-30,Товары для животных,Москва и МО,micro,FBO,center,referral,1
100186,2023-12-14,2024-01-27,Спорт,Дальний Восток,small,FBO,center,ads,1
100187,2024-09-12,2024-10-01,Дом,Москва и МО,micro,FBS,center,ads,1
100188,2025-02-22,2025-03-12,Красота,Урал,micro,FBO,east,referral,0
100189,2025-04-23,2025-05-19,Спорт,Урал,micro,FBO,south,partner,1
100190,2025-03-11,2025-05-23,Дом,Юг,micro,FBO,center,organic,1
100191,2025-10-01,2025-10-29,Красота,Центр,large,FBO,south,partner,1
100192,2024-08-16,2024-10-12,Детские товары,Центр,small,FBO,center,organic,1
100193,2023-07-04,2023-07-31,Дом,Сибирь,medium,FBO,east,organic,1
100194,2025-06-29,2025-07-14,Аксессуары,Центр,small,FBS,east,partner,1
100195,2024-10-16,2024-10-21,Одежда,Москва и МО,micro,mixed,center,organic,1
100196,2023-10-24,2023-11-02,Красота,Москва и МО,micro,FBS,center,organic,1
100197,2025-03-17,2025-03-27,Одежда,Юг,large,FBO,center,partner,1
100198,2025-02-22,2025-03-22,Одежда,Юг,micro,FBO,south,referral,1
100199,2025-08-28,2025-09-06,Обувь,Центр,small,FBO,west,referral,0
100200,2024-09-13,2024-10-17,Обувь,Юг,large,FBS,south,organic,1
100201,2025-08-25,2025-09-24,Одежда,Москва и МО,micro,FBO,center,referral,0
100202,2024-10-18,2024-11-15,Одежда,Москва и МО,medium,FBO,east,partner,1
100203,2024-12-27,2025-02-20,Детские товары,Сибирь,micro,FBO,north,organic,0
100204,2024-07-20,2024-08-22,Дом,Санкт-Петербург,small,FBS,center,ads,1
100205,2025-08-11,2025-08-30,Детские товары,Дальний Восток,medium,FBS,east,organic,1
100206,2024-07-24,2024-08-09,Одежда,Санкт-Петербург,micro,FBS,west,partner,1
100207,2025-10-05,2025-12-16,Одежда,Центр,small,FBO,east,referral,1
100208,2024-10-19,2024-12-01,Красота,Москва и МО,small,mixed,north,ads,1
100209,2024-06-25,2024-07-08,Товары для животных,Центр,micro,FBS,north,ads,1
100210,2025-12-14,2025-12-19,Дом,Санкт-Петербург,micro,FBO,center,organic,1
100211,2025-05-03,2025-05-29,Аксессуары,Санкт-Петербург,small,FBS,north,referral,0
100212,2024-11-08,2024-12-06,Электроника,Санкт-Петербург,micro,FBS,center,offline_event,1
100213,2024-02-27,2024-03-26,Аксессуары,Поволжье,small,FBS,center,organic,1
100214,2024-03-19,2024-03-23,Товары для животных,Санкт-Петербург,micro,FBS,south,ads,1
100215,2024-05-09,2024-05-19,Детские товары,Поволжье,small,FBO,east,organic,0
100216,2023-09-29,2023-10-16,Обувь,Центр,large,FBS,center,partner,1
100217,2025-12-04,2025-12-24,Одежда,Москва и МО,small,FBS,west,organic,1
100218,2025-11-13,2025-12-11,Одежда,Санкт-Петербург,small,FBS,north,ads,1
100219,2025-11-24,2025-12-22,Обувь,Юг,small,FBO,east,ads,1
100220,2024-11-25,2024-12-27,Красота,Поволжье,micro,FBO,center,organic,1
100221,2024-07-03,2024-07-11,Детские товары,Поволжье,micro,FBS,west,partner,0
100222,2026-01-06,2026-01-21,Одежда,Дальний Восток,micro,FBS,center,organic,1
100223,2024-12-15,2024-12-27,Одежда,Юг,small,FBO,center,partner,1
100224,2025-05-26,2025-06-12,Электроника,Центр,micro,FBO,east,organic,1
100225,2024-10-24,2024-11-18,Дом,Юг,micro,FBS,north,organic,0
100226,2023-12-30,2024-01-16,Спорт,Москва и МО,small,FBO,south,organic,1
100227,2025-05-20,2025-06-03,Электроника,Центр,micro,FBO,west,organic,1
100228,2025-12-04,2026-01-12,Спорт,Москва и МО,micro,FBO,west,organic,0
100229,2024-11-18,2024-12-10,Одежда,Центр,micro,FBS,west,partner,1
100230,2026-02-03,2026-04-05,Дом,Центр,small,FBS,south,organic,0
100231,2025-03-01,2025-03-06,Электроника,Москва и МО,small,FBS,east,organic,1
100232,2025-11-01,2025-11-29,Детские товары,Поволжье,small,FBS,center,organic,1
100233,2024-01-25,2024-02-13,Аксессуары,Юг,micro,mixed,north,organic,1
100234,2023-10-20,2023-11-22,Одежда,Дальний Восток,small,FBO,north,offline_event,1
100235,2025-11-10,2025-11-13,Аксессуары,Центр,micro,FBS,south,referral,1
100236,2023-12-21,2024-01-04,Одежда,Сибирь,small,FBO,center,partner,1
100237,2023-12-02,2024-01-08,Канцелярия,Москва и МО,micro,FBS,east,organic,1
100238,2025-01-04,2025-02-03,Красота,Москва и МО,small,FBS,south,organic,1
100239,2025-04-18,2025-06-06,Одежда,Юг,medium,FBO,east,organic,0
100240,2025-07-31,2025-08-14,Одежда,Москва и МО,small,FBO,north,referral,1
100241,2025-09-17,2025-09-25,Детские товары,Дальний Восток,small,FBO,center,partner,0
100242,2023-11-13,2024-02-05,Красота,Сибирь,large,mixed,east,organic,0
100243,2025-04-05,2025-04-24,Аксессуары,Центр,small,FBS,center,referral,1
100244,2025-11-12,2025-12-15,Дом,Центр,small,FBO,west,referral,0
100245,2024-05-16,2024-06-21,Детские товары,Центр,micro,FBS,center,ads,1
100246,2025-02-25,2025-03-18,Одежда,Юг,micro,FBS,south,organic,0
100247,2025-09-03,2025-09-21,Детские товары,Поволжье,small,FBO,north,partner,0
100248,2025-02-20,2025-03-27,Аксессуары,Центр,small,FBO,center,ads,0
100249,2025-04-08,2025-04-23,Обувь,Москва и МО,micro,FBO,center,partner,1
100250,2024-11-18,2024-12-30,Одежда,Урал,micro,FBO,center,organic,1
100251,2024-11-07,2024-11-23,Обувь,Москва и МО,small,FBS,center,organic,1
100252,2024-12-14,2025-03-07,Дом,Санкт-Петербург,small,FBO,west,referral,1
100253,2024-04-04,2024-04-27,Красота,Урал,small,FBO,north,offline_event,1
100254,2023-12-14,2023-12-24,Дом,Сибирь,micro,FBS,east,partner,1
100255,2025-11-05,2025-12-14,Одежда,Москва и МО,micro,mixed,center,organic,1
100256,2025-03-05,2025-04-02,Красота,Москва и МО,small,FBS,center,offline_event,1
100257,2025-05-28,2025-06-04,Детские товары,Поволжье,small,FBS,east,ads,1
100258,2025-02-14,2025-03-16,Обувь,Центр,micro,FBO,center,ads,1
100259,2024-11-02,2024-12-01,Канцелярия,Центр,micro,FBS,center,ads,1
100260,2024-07-11,2024-08-07,Одежда,Поволжье,micro,FBS,center,organic,1
100261,2024-09-20,2024-10-29,Товары для животных,Поволжье,small,FBO,west,organic,1
100262,2026-03-13,2026-03-22,Дом,Москва и МО,micro,FBO,north,partner,0
100263,2025-07-12,2025-09-07,Красота,Санкт-Петербург,micro,FBO,north,organic,1
100264,2024-10-21,2024-11-18,Дом,Москва и МО,medium,FBO,center,organic,1
100265,2023-12-02,2023-12-22,Одежда,Юг,micro,FBS,south,partner,1
100266,2023-10-04,2023-12-29,Аксессуары,Поволжье,micro,FBO,east,referral,1
100267,2025-03-31,2025-04-21,Товары для животных,Москва и МО,micro,FBS,center,organic,1
100268,2023-10-17,2023-11-27,Спорт,Москва и МО,small,mixed,south,organic,0
100269,2024-08-27,2024-08-30,Обувь,Урал,micro,mixed,south,partner,1
100270,2024-12-24,2024-12-30,Электроника,Санкт-Петербург,small,FBO,center,organic,1
100271,2023-07-05,2023-07-08,Товары для животных,Урал,micro,FBO,east,organic,0
100272,2024-04-21,2024-07-15,Одежда,Москва и МО,small,FBS,east,organic,1
100273,2024-11-18,2024-11-20,Канцелярия,Поволжье,medium,mixed,north,partner,0
100274,2024-08-17,2024-08-26,Одежда,Урал,micro,mixed,east,partner,1
100275,2025-01-27,2025-03-07,Одежда,Поволжье,medium,FBS,center,organic,1
100276,2023-11-20,2023-12-19,Товары для животных,Санкт-Петербург,small,FBO,east,partner,1
100277,2025-07-02,2025-07-25,Электроника,Санкт-Петербург,micro,FBS,center,referral,1
100278,2023-10-05,2023-11-15,Одежда,Урал,small,FBO,south,ads,1
100279,2026-02-08,2026-02-14,Обувь,Юг,medium,mixed,center,organic,1
100280,2023-09-05,2023-10-01,Электроника,Москва и МО,micro,FBO,center,partner,1
100281,2026-01-12,2026-02-05,Детские товары,Поволжье,micro,FBS,north,offline_event,1
100282,2025-06-20,2025-06-29,Дом,Санкт-Петербург,micro,FBS,center,offline_event,0
100283,2024-02-18,2024-02-25,Обувь,Центр,small,FBO,north,referral,1
100284,2023-11-11,2023-11-25,Детские товары,Урал,micro,FBO,west,organic,0
100285,2024-02-08,2024-03-05,Канцелярия,Москва и МО,large,mixed,west,offline_event,0
100286,2025-04-03,2025-04-23,Детские товары,Сибирь,micro,FBS,east,organic,1
100287,2024-04-01,2024-04-13,Спорт,Санкт-Петербург,medium,FBS,center,ads,1
100288,2023-11-19,2023-12-01,Красота,Урал,small,FBS,center,organic,1
100289,2023-09-28,2023-10-06,Одежда,Урал,micro,FBS,east,referral,1
100290,2023-07-10,2023-08-23,Дом,Москва и МО,micro,FBO,center,referral,1
100291,2025-11-10,2025-11-19,Дом,Юг,small,FBO,west,referral,1
100292,2023-11-13,2023-11-21,Одежда,Центр,medium,FBO,west,referral,0
100293,2024-12-24,2025-01-04,Обувь,Поволжье,micro,FBO,south,organic,1
100294,2023-11-03,2024-01-01,Детские товары,Урал,micro,FBS,north,ads,1
100295,2024-03-16,2024-04-26,Спорт,Сибирь,micro,FBO,south,partner,1
100296,2025-09-05,2025-09-17,Аксессуары,Поволжье,micro,FBO,south,partner,0
100297,2023-08-08,2023-09-08,Одежда,Москва и МО,large,FBS,north,organic,0
100298,2024-08-24,2024-09-29,Красота,Сибирь,small,FBO,east,offline_event,1
100299,2025-06-08,2025-07-10,Одежда,Центр,small,FBS,center,organic,1
100300,2024-11-27,2025-02-05,Одежда,Сибирь,large,FBO,north,ads,0
100301,2023-07-19,2023-08-16,Аксессуары,Урал,micro,FBS,west,organic,1
100302,2025-08-26,2025-10-16,Одежда,Москва и МО,large,FBS,east,ads,0
100303,2024-01-31,2024-02-18,Красота,Центр,medium,FBO,west,organic,1
100304,2024-09-10,2024-09-27,Дом,Центр,micro,FBS,north,partner,1
100305,2023-10-16,2023-11-04,Одежда,Центр,medium,FBO,east,organic,1
100306,2024-10-28,2024-11-17,Дом,Центр,small,FBO,center,ads,1
100307,2023-09-16,2023-10-15,Канцелярия,Сибирь,medium,FBO,east,organic,0
100308,2026-03-05,2026-03-27,Аксессуары,Центр,micro,FBO,north,organic,1
100309,2024-09-29,2024-10-23,Красота,Центр,micro,FBS,west,organic,1
100310,2024-06-07,2024-07-22,Аксессуары,Урал,small,FBO,east,offline_event,0
100311,2024-10-04,2024-10-19,Электроника,Поволжье,small,FBS,east,organic,1
100312,2023-07-26,2023-08-21,Спорт,Урал,small,mixed,center,offline_event,1
100313,2023-07-19,2023-08-15,Спорт,Центр,small,FBO,east,partner,1
100314,2023-09-24,2023-10-03,Аксессуары,Юг,micro,FBS,east,organic,1
100315,2025-11-12,2025-11-21,Одежда,Урал,medium,FBO,south,organic,0
100316,2025-09-26,2025-10-05,Спорт,Санкт-Петербург,micro,FBS,south,organic,1
100317,2024-03-11,2024-04-11,Детские товары,Юг,small,FBO,center,organic,1
100318,2023-08-07,2023-08-17,Аксессуары,Поволжье,micro,FBO,east,ads,1
100319,2024-02-27,2024-04-02,Обувь,Сибирь,micro,FBO,east,ads,1
100320,2025-12-24,2026-01-05,Товары для животных,Москва и МО,micro,FBO,north,referral,1
100321,2023-10-08,2023-11-01,Спорт,Сибирь,small,FBO,center,partner,1
100322,2025-01-22,2025-02-18,Обувь,Урал,large,FBS,center,ads,1
100323,2025-04-07,2025-04-29,Дом,Дальний Восток,micro,FBO,south,organic,0
100324,2023-07-13,2023-08-01,Красота,Дальний Восток,medium,FBS,east,ads,1
100325,2023-10-07,2023-10-23,Дом,Юг,medium,FBO,center,referral,1
100326,2024-01-29,2024-02-26,Товары для животных,Поволжье,small,FBS,south,partner,1
100327,2024-11-08,2024-11-25,Детские товары,Урал,small,FBS,south,organic,1
100328,2026-01-03,2026-02-02,Дом,Дальний Восток,small,FBO,north,offline_event,0
100329,2023-08-31,2023-12-09,Дом,Дальний Восток,micro,FBO,north,ads,0
100330,2023-12-21,2024-01-03,Электроника,Москва и МО,medium,mixed,north,ads,0
